Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato for når Statnett reserverte kapasitet til kunden,Dato - Planlagt tiknytning,Kunde og tilknytningsansvarlig,Reservert kapasitet (MW)
24/01894,ELB1058,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,atNorth AS,Datasenter,2025-10-09,2032-12-30,Heidi Hellesvik Ringstad,30
24/01904,ELB132,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Coop Norge SA,Transport,2026-03-05,2026-06-29,Karoline Josefine Gudbjerg,5
25/01925,ELB2215,Rana KRA/TRA,Helgeland og Salten,NO4,Linea AS,Freyr / T1 Energy,Datasenter,,2027-03-31,Ingvild Grøtterud Birkeland,50
25/01986,ELB766,Narvik TRA,Nord,NO4,Noranett AS,Narvikfjellet Allmen AS,Industri,2025-08-20,2028-01-31,Lars Erik Johansen,8.5
25/02009,ELB528,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,BKK AS,FlexFuels AS,Industri,2025-05-06,2035-12-31,Magnus Øverby Tennøe,25
25/02022,,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Tensio AS,Eco Seafood,Oppdrettsnæring,2025-03-06,2026-08-31,Ingvild Grøtterud Birkeland,4.4
25/02030,ELB1068,Nes Bk TRA,Hallingdal og Ringerike,NO5,Glitre Nett AS,Stormvind AS,Annet forbruk,2026-06-22,2027-06-29,Heidi Hellesvik Ringstad,10
25/02031,ELB1059,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Bulk AS,Datasenter,2025-10-09,2032-12-30,Heidi Hellesvik Ringstad,15
25/02038,ELB49,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,AVINOR AS,Transport,2023-06-29,2027-09-29,Ingvild Grøtterud Birkeland,6.5
25/02040,ELB1852,Porsgrunn TRA,Telemark og Vestfold,NO2,Herøya Nett As,Nordic Electrofuel AS,Hydrogen/ammoniakk,2026-03-26,2028-12-30,Geir Kåsa,10
25/02045,ELB527,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,Viking Aqua,Oppdrettsnæring,2025-05-26,2035-12-31,Magnus Øverby Tennøe,20
25/02065,ELB1061,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Biojet AS,Industri,2025-10-09,2032-12-30,Heidi Hellesvik Ringstad,55
25/02107,ELB53,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Arctic Sapphire,Industri,2019-06-02,2026-06-29,Ingvild Grøtterud Birkeland,7
25/02112,ELB103,Vang TRA,Innlandet,NO1,Elvia As,Green Mountain Innlandet AS,Datasenter,2026-03-05,2027-12-30,Karoline Josefine Gudbjerg,70
25/02114,ELB104,Sogn TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,2024-10-23,2028-06-29,Karoline Josefine Gudbjerg,12.5
25/02117,ELB433,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Viken Energy AS,Annet forbruk,2020-11-08,2028-12-30,Karoline Josefine Gudbjerg,25
25/02130,ELB149,Smestad TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Vann- og avløpsetaten,Annet forbruk,2026-06-19,2027-09-29,Karoline Josefine Gudbjerg,16
25/02185,ELB102,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Linea AS,Vevelstad Settefisk AS,Oppdrettsnæring,2024-02-08,2025-06-29,Ingvild Grøtterud Birkeland,5
25/02221,ELB343,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Linea AS,AKVAFUTURE AS,Oppdrettsnæring,2026-03-24,2029-03-30,Ingvild Grøtterud Birkeland,2.5
25/02292,ELB1423,Vinje KRA,Telemark og Vestfold,NO2,Statkraft Energi As,Bifrost Edge AS,Datasenter,2025-12-14,2026-12-14,Geir Kåsa,40
25/02311,ELB490,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,MS Kvål,Datasenter,2024-05-27,2027-12-31,Arne Utne,25
25/02312,ELB494,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Norsk Stein Tau,Industri,2024-05-27,2024-12-31,Arne Utne,5
25/02314,,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,2024-05-27,2025-12-31,Arne Utne,10
25/02315,ELB460,Fagrafjell TRA,Sør Rogaland og Agder,NO2,Lnett AS,Norwegian Hydrogen,Hydrogen/ammoniakk,2024-05-27,2025-12-31,Arne Utne,10
25/02320,ELB458,Stølaheia TRA,Sør Rogaland og Agder,NO2,Lnett AS,Stavanger Havn,Transport,2024-05-22,2025-12-31,Arne Utne,24
25/02325,ELB484,Stølaheia TRA,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,2024-05-22,2032-03-31,Arne Utne,12.5
25/02396,ELB1545,Husnes TRA,Bergen og Haugalandet,NO2,Hydro Aluminium As,Hydro Aluminium AS,Industri,2026-06-04,2028-12-31,Magnus Øverby Tennøe,33
25/02455,ELB769,Lødingen TRA,Nord,NO4,Noranett AS,LØDINGEN FISK AS,Oppdrettsnæring,2026-05-04,2027-05-31,Lars Erik Johansen,2.5
25/02477,ELB793,Kilbotn TRA,Nord,NO4,Noranett AS,TROMS FYLKESKOMMUNE,Transport,2026-01-18,2027-02-28,Lars Erik Johansen,2.8
25/02503,,Kobbvatnet TRA,Helgeland og Salten,NO4,Kystnett As,Statens Vegvesen,Transport,2022-11-13,2028-12-31,Ingvild Grøtterud Birkeland,3.5
25/02504,,Kobbvatnet TRA,Helgeland og Salten,NO4,Kystnett As,TQC AS,Industri,2022-09-27,2028-06-30,Ingvild Grøtterud Birkeland,11
25/02523,ELB832,Spanne TRA,Bergen og Haugalandet,NO2,Fagne AS,atNorth AS,Datasenter,2026-03-27,2028-03-31,Magnus Øverby Tennøe,120
25/02544,ELB875,Nye Stokmarknes transformatorstasjon TRA,Nord,NO4,Noranett AS,AVINOR AS,Transport,2026-03-04,2030-09-30,Lars Erik Johansen,2.8
25/02588,ELB892,Nye Stokmarknes transformatorstasjon TRA,Nord,NO4,Noranett AS,STOKMARKNES MILJØHAVN AS,Annet forbruk,2026-03-04,2026-09-30,Lars Erik Johansen,3
25/02613,ELB705,Halden TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Pyur Energy AS,Annet forbruk,2026-06-16,2027-07-01,Karoline Josefine Gudbjerg,11
25/02740,ELB1212,Namsos TRA,Midt,NO3,Tensio AS,MOWI ASA,Oppdrettsnæring,2026-01-19,2026-01-01,Christopher Aarnseth Ruud,1.8
25/02861,ELB1576,Kvinesdal TRA,Sør Rogaland og Agder,NO2,VENTYR SNII AS,Ventyr,Annet forbruk,2024-10-07,2030-12-30,Arne Utne,20
25/02922,ELB1480,Klæbu TRA,Midt,NO3,Tensio AS,RIMOL MILJØPARK AS,Industri,2026-02-18,2026-01-01,Christopher Aarnseth Ruud,0.5
26/03113,ELB1902,Bamble TRA,Telemark og Vestfold,NO2,Lede AS,Stormvind AS,Annet forbruk,2025-11-03,2028-06-29,Geir Kåsa,30
26/03126,ELB1758,Porsgrunn TRA,Telemark og Vestfold,NO2,Herøya Nett As,POLARDC HER AS,Datasenter,2026-03-26,2028-12-30,Geir Kåsa,15
26/03260,ELB2019,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,HYFUEL AS,Hydrogen/ammoniakk,2023-09-21,2027-07-29,Hans Olav Ween,20
26/03442,ELB2198,Sortland TRA,Nord,NO4,Vestall AS,JOHANSEN&JOHANSEN AS,Transport,2023-03-30,2027-03-31,Lars Erik Johansen,4
26/03460,ELB2209,Sortland TRA,Nord,NO4,Vestall AS,TROMS FYLKESKOMMUNE,Transport,2023-03-30,2027-06-30,Lars Erik Johansen,2.2
26/03461,ELB2214,Sortland TRA,Nord,NO4,Vestall AS,BIOMAR A.S.,Oppdrettsnæring,2023-03-30,2030-09-30,Lars Erik Johansen,6
26/03462,ELB2216,Sortland TRA,Nord,NO4,Vestall AS,FORSVARSBYGG,Transport,2023-03-30,2027-12-31,Lars Erik Johansen,2.4
26/03654,ELB2383,Fortun KRA/TRA,Sogn og Sunnmøre,NO5,Linja AS,Hydro Energi AS,Pumpekraftverk,2023-11-28,2029-03-29,Hans Olav Ween,48
26/03733,ELB2220,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,POLARSMOLT AS,Oppdrettsnæring,2026-03-20,2027-10-01,Lars Erik Johansen,4.5
26/03734,ELB2221,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,TORGHATTEN NORD AS,Transport,2026-04-08,2026-04-01,Lars Erik Johansen,1.2
26/03735,ELB2222,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,EIENDOMSSPAR AS,Annet forbruk,2026-05-15,2028-04-01,Lars Erik Johansen,1
26/03736,ELB2226,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,TESLA NORWAY AS,Transport,2026-09-08,2026-04-01,Lars Erik Johansen,1.6
26/03737,ELB2230,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,LOFOTEN HYTTEUTVIKLING AS,Annet forbruk,2026-04-22,2026-07-01,Lars Erik Johansen,1.35
26/03738,ELB2233,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,LOFOTEN UTVIKLING AS,Annet forbruk,2026-05-27,2028-09-30,Lars Erik Johansen,2
26/03740,ELB2274,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,SKARVIK EIENDOM AS,Annet forbruk,2026-05-27,2026-06-30,Lars Erik Johansen,3
26/03852,ELB2141,Arendal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,TESLA NORWAY AS,Transport,2026-08-10,2026-04-01,Arne Utne,2.5
26/03904,ELB2345,Sylling TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,PowerX AS,Annet forbruk,2026-07-08,2026-07-01,Heidi Hellesvik Ringstad,4.9
26/04078,ELB1051,Skjomen KRA,Nord,NO4,Noranett AS,FRANZEFOSS MINERALS AS,Industri,2026-08-13,2026-05-04,Lars Erik Johansen,4.3
26/04875,ELB3321,Hinnøy,Nord,NO4,Noranett AS,NORTHSAFE AS,Datasenter,2024-03-20,2026-09-30,Lars Erik Johansen,5
