Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
25/02965,ELB1326,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Solkraft Sør AS,Annet forbruk,2026-03-06,2026-04-01,Arne Utne,10
25/02981,ELB1588,Aurland 3 KRA/TRA,Hallingdal og Ringerike,NO5,Hafslund Kraft As,Hafslund Kraft AS,Pumpekraftverk,2025-04-23,2032-12-31,Hans Olav Ween,125
25/02982,ELB1351,Moskog TRA,Sogn og Sunnmøre,NO3,BKK AS,Bue Salmon AS,Oppdrettsnæring,2025-03-13,2031-01-01,Hans Olav Ween,20
25/03004,ELB1463,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,SKIPAVIKA NÆRINGSPARK AS,Datasenter,2026-01-09,2027-04-01,Magnus Øverby Tennøe,45
25/03020,ELB1644,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,NODC 100 AS,Datasenter,2026-05-07,2029-07-01,Magnus Øverby Tennøe,75
25/03021,ELB1617,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,BW VELORA SKIPAVIKA DIGITAL SIKKERHET AS,Datasenter,2026-02-13,2028-01-01,Magnus Øverby Tennøe,50
25/03023,ELB1593,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,TikTok Norway AS,Datasenter,2026-07-10,2031-01-01,Heidi Hellesvik Ringstad,135
25/03026,ELB1589,Strinda TRA,Midt,NO3,Tensio AS,LUNERA ENERGI AS,Annet forbruk,2026-01-13,2028-01-01,Christopher Aarnseth Ruud,8
25/03032,ELB1301,Fåberg TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Annet forbruk,2026-02-17,2028-10-01,Karoline Josefine Gudbjerg,11.1
25/03034,ELB1421,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,NE Investment AS,Datasenter,2026-03-19,2027-01-01,Karoline Josefine Gudbjerg,24
26/03050,ELB1435,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,AS Rockwool,Industri,2026-03-19,2026-01-01,Karoline Josefine Gudbjerg,3
26/03066,ELB1671,Dale TRA,Bergen og Haugalandet,NO5,BKK AS,ASP Eiendom AS,Datasenter,2026-06-16,2026-01-01,Magnus Øverby Tennøe,10
26/03073,ELB1687,Kjelland TRA,Sør Rogaland og Agder,NO2,Lnett AS,PELAGIA AS,Industri,2026-08-19,2029-01-01,Arne Utne,6.3
26/03076,ELB1844,Hof TRA,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,2026-01-05,2026-12-31,Geir Kåsa,7
26/03086,ELB1303,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Annet forbruk,2026-02-24,2029-01-01,Karoline Josefine Gudbjerg,8
26/03096,ELB1673,Surna,Midt,NO3,Mellom AS,Salfjord AS,Datasenter,2026-02-08,2028-04-01,Hans Olav Ween,90
26/03099,ELB1700,Viklandet TRA,Midt,NO3,Mellom AS,MAGNORA SCALE AVERØYA AS,Datasenter,2026-03-25,2028-01-01,Hans Olav Ween,94
26/03114,ELB1824,Rød TRA,Telemark og Vestfold,NO2,Lede AS,Stormvind AS,Annet forbruk,2024-11-14,2026-03-07,Geir Kåsa,20
26/03116,ELB1806,Rød TRA,Telemark og Vestfold,NO2,Lede AS,Stormvind AS,Annet forbruk,2024-11-14,2025-12-31,Geir Kåsa,5
26/03132,ELB1768,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,FOSSEFALL AS,Datasenter,2025-12-01,2026-10-01,Geir Kåsa,1
26/03164,ELB1936,Balsfjord TRA,Nord,NO4,Arva AS,TROMS FYLKESKOMMUNE,Transport,2026-03-02,2029-04-01,Lars Erik Johansen,18
26/03165,ELB1826,Rød TRA,Telemark og Vestfold,NO2,Lede AS,LØVENSKIOLD-FOSSUM KRAFT DRIFT AS,Datasenter,2026-01-21,2027-10-01,Geir Kåsa,96
26/03170,ELB1840,Tveiten TRA,Telemark og Vestfold,NO2,Lede AS,MAGNA EIENDOM AS,Datasenter,2026-01-28,2031-01-01,Geir Kåsa,80
26/03190,ELB1737,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Tensio AS,BINDAL KRAFTLAG SA,Oppdrettsnæring,2026-06-15,2028-04-01,Christopher Aarnseth Ruud,2
26/03230,ELB1928,Hof TRA,Telemark og Vestfold,NO2,Lede AS,ASKO OSLOFJORD AS,Transport,2026-05-08,2026-04-01,Geir Kåsa,3.6
26/03255,ELB2005,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,KYSTVERKET,Transport,2023-11-02,2026-07-01,Hans Olav Ween,4.98
26/03306,ELB1956,Kvinesdal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,ARCEM DC 11 AS,Datasenter,2026-06-01,2030-10-01,Arne Utne,50
26/03324,ELB1361,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Solkraft Sør AS,Annet forbruk,2026-02-19,2028-01-01,Arne Utne,12
26/03354,ELB1939,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,TESLA NORWAY AS,Transport,2026-02-18,2026-04-01,Karoline Josefine Gudbjerg,6
26/03356,ELB1726,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Annet forbruk,2026-03-11,2027-07-01,Karoline Josefine Gudbjerg,51
26/03359,ELB1724,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Annet forbruk,2026-03-05,2027-04-01,Karoline Josefine Gudbjerg,7.2
26/03393,ELB1457,Kirkenes TRA,Nord,NO4,Barents Nett As,KIRKENES SYKEHUS EIENDOM AS,Datasenter,2026-05-07,2026-04-01,Lars Erik Johansen,1.22
26/03395,ELB2116,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,MAGNORA ASA,Datasenter,2026-07-09,2028-10-01,Hans Olav Ween,50
26/03402,ELB1750,Sauda TRA,Bergen og Haugalandet,NO2,Fagne AS,MAGNORA ASA,Datasenter,2026-06-24,2027-10-01,Magnus Øverby Tennøe,95
26/03415,ELB2140,Bamble TRA,Telemark og Vestfold,NO2,Lede AS,BW VELORA AS,Datasenter,2026-05-06,2028-10-01,Geir Kåsa,96
26/03432,ELB1787,Husnes TRA,Bergen og Haugalandet,NO2,Fagne AS,REIKNA AS,Datasenter,2026-05-19,2028-07-01,Magnus Øverby Tennøe,50
26/03438,ELB1977,Nea KRA/TRA,Midt,NO3,Tensio AS,ANEO VIND AS,Annet forbruk,2026-05-15,2029-04-01,Christopher Aarnseth Ruud,22
26/03440,ELB2155,Namsos TRA,Midt,NO3,Tensio AS,MOWI ASA,Oppdrettsnæring,2026-04-22,2029-04-01,Christopher Aarnseth Ruud,10
26/03459,ELB2203,Sortland TRA,Nord,NO4,Vestall AS,EIDSFJORD SJØFARM AS,Oppdrettsnæring,2023-03-30,2028-05-31,Lars Erik Johansen,5
26/03504,ELB2317,Spanne TRA,Bergen og Haugalandet,NO2,Fagne AS,atNorth AS,Datasenter,2026-05-29,2029-04-01,Magnus Øverby Tennøe,230
26/03515,ELB2323,Ertsmyra TS TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,UNCAP AS,Annet forbruk,2026-05-28,2029-01-01,Arne Utne,150
26/03520,ELB2279,Saurdal KRA/TRA,Bergen og Haugalandet,NO2,Fagne AS,UNCAP AS,Annet forbruk,2026-03-02,2028-10-01,Magnus Øverby Tennøe,80
26/03524,ELB930,Sima KRA/TRA,Bergen og Haugalandet,NO5,Indre Hordaland Kraftnett AS,EVINY HAVVIND 1 AS,Datasenter,2026-03-26,2029-01-01,Magnus Øverby Tennøe,90
26/03529,ELB2312,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,ARCEM DC 11 AS,Datasenter,2026-05-08,2031-04-01,Magnus Øverby Tennøe,50
26/03541,ELB2285,Sortland TRA,Nord,NO4,Vestall AS,ØYTRANS AS,Oppdrettsnæring,2026-03-22,2027-07-01,Lars Erik Johansen,4.99
26/03584,ELB2411,Midtfjellet KRA/TRA,Bergen og Haugalandet,NO2,Fagne AS,Statens Vegvesen,Transport,2026-05-07,2033-01-01,Magnus Øverby Tennøe,9.01
26/03605,ELB2339,Giskemo TRA,Sogn og Sunnmøre,NO3,Linja AS,VARD GROUP AS,Annet forbruk,2024-11-27,2028-04-01,Hans Olav Ween,2
26/03611,ELB1746,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,FRAMO FLATØY AS,Petroleum,2026-08-18,2029-10-01,Magnus Øverby Tennøe,30
26/03630,ELB2416,Kvinesdal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,ARCEM DC 13 AS,Datasenter,2026-05-27,2029-10-01,Arne Utne,15
26/03656,ELB2523,Stølaheia TRA,Sør Rogaland og Agder,NO2,Lnett AS,SKRETTING AS,Industri,2026-07-29,2028-10-01,Arne Utne,5
26/03662,ELB2509,Tveiten TRA,Telemark og Vestfold,NO2,Lede AS,HAFSLUND MAGNORA SOL AS,Annet forbruk,2026-04-29,2028-07-01,Geir Kåsa,20
26/03693,ELB2542,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Bulk Data Centers AS,Datasenter,2026-06-08,2028-10-01,Heidi Hellesvik Ringstad,135
26/03728,ELB2581,Usta KRA/TRA,Hallingdal og Ringerike,NO5,Føie,Hafslund Kraft AS,Annet forbruk,2026-07-02,2035-04-01,Heidi Hellesvik Ringstad,115
26/03741,ELB2555,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,POLARFEED AS,Annet forbruk,2025-07-16,2028-01-01,Lars Erik Johansen,4.99
26/03742,ELB2556,AY KVITFOSSEN TRA,Nord,NO4,Elmea AS,POLARFEED AS,Annet forbruk,2025-07-16,2031-01-01,Lars Erik Johansen,4.99
26/03748,ELB2602,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,DE NETT AS,Annet forbruk,2026-05-20,2028-07-01,Geir Kåsa,20
26/03769,ELB2528,Skaidi TRA,Nord,NO4,Lucerna AS,EQUINOR ASA,Petroleum,2025-02-24,2026-07-01,Lars Erik Johansen,30
26/03802,ELB2645,Bamble TRA,Telemark og Vestfold,NO2,Lede AS,BW VELORA FJORD AS,Datasenter,2026-05-06,2029-04-01,Geir Kåsa,96
26/03846,ELB2551,Fræna TRA,Midt,NO3,Elinett AS,NODC 100 AS,Datasenter,2026-05-29,2032-04-01,Hans Olav Ween,50
26/03856,ELB2665,Nedre Vinstra KRA/TRA,Innlandet,NO1,Vevig As,Driva Aquaculture AS,Industri,2026-03-25,2027-07-01,Karoline Josefine Gudbjerg,6.5
26/03896,ELB2570,Flesaker TRA,Telemark og Vestfold,NO1,Glitre Nett AS,Fiskumparken C4 AS,Datasenter,2026-06-12,2029-01-01,Heidi Hellesvik Ringstad,350
26/03926,ELB2745,Giskemo TRA,Sogn og Sunnmøre,NO3,Linja AS,FJORDCORE ÅLESUND AS,Datasenter,2026-06-30,2026-10-01,Hans Olav Ween,20
26/03976,ELB2842,Surna,Midt,NO3,Mellom AS,NFH 260353 AS,Datasenter,2026-05-13,2027-04-01,Hans Olav Ween,30
26/04004,ELB2670,Hamang TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,ELVA AS,Annet forbruk,2026-07-06,2026-10-01,Karoline Josefine Gudbjerg,5
26/04013,ELB2881,Grenland TRA,Telemark og Vestfold,NO2,Herøya Nett As,Nordic Electrofuel AS,Transport,2026-04-24,2029-01-01,Geir Kåsa,60
26/04019,ELB2940,Sogndal TRA,Sogn og Sunnmøre,NO5,Sygnir AS,VANGSNES UTVIKLING AS,Datasenter,2025-10-30,2031-01-01,Hans Olav Ween,90
26/04080,ELB3022,Bamble TRA,Telemark og Vestfold,NO2,Lede AS,BW VELORA FJORD AS,Datasenter,2026-05-06,2029-07-01,Geir Kåsa,58
26/04105,ELB2821,Surna,Midt,NO3,Linja AS,MAGNORA SCALE SURNADAL AS,Datasenter,2026-05-27,2030-04-01,Hans Olav Ween,96
26/04117,ELB2966,Furuset TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Blix Data Center AS,Datasenter,2026-06-08,2026-10-01,Karoline Josefine Gudbjerg,10
26/04149,ELB3059,Sylling TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Chemring Nobel AS,Industri,2026-06-29,2029-07-01,Heidi Hellesvik Ringstad,100
26/04199,ELB3106,Vardal TRA,Innlandet,NO1,Elvia As,Raufoss Næringspark ANS,Annet forbruk,2026-06-02,2027-04-01,Karoline Josefine Gudbjerg,9
26/04237,ELB3119,Follo TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Karmsund Group AS,Annet forbruk,2026-08-03,2027-07-01,Karoline Josefine Gudbjerg,25
26/04294,ELB3029,Lindås transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,EQUINOR ASA,Petroleum,2026-06-25,2029-01-01,Magnus Øverby Tennøe,40
26/04365,ELB4055,Boltåsen transformatorstasjon TRA,Nord,NO4,Noranett AS,100759,Industri,2026-05-25,2026-12-31,Lars Erik Johansen,27.3
26/04415,ELB3221,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2029-10-01,Karoline Josefine Gudbjerg,2
26/04423,ELB3470,Rød TRA,Telemark og Vestfold,NO2,Lede AS,LF PROSJEKT 3 AS,Datasenter,2026-06-19,2028-10-01,Geir Kåsa,160
26/04495,ELB3554,Borgund KRA/TRA,Hallingdal og Ringerike,NO5,Sygnir AS,HÅBAKKEN NÆRINGSPARK AS,Datasenter,2026-06-30,2027-10-01,Hans Olav Ween,30
26/04512,ELB3568,Tveiten TRA,Telemark og Vestfold,NO2,Lede AS,HAUKEVEIEN HOLDING AS,Datasenter,2026-07-01,2030-10-01,Geir Kåsa,90
26/04536,ELB3389,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2030-07-01,Heidi Hellesvik Ringstad,2
26/04537,ELB3390,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2030-10-01,Karoline Josefine Gudbjerg,2
26/04538,ELB3550,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2031-07-01,Karoline Josefine Gudbjerg,2
26/04540,ELB3552,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2029-10-01,Karoline Josefine Gudbjerg,1
26/04541,ELB3553,Vardal TRA,Innlandet,NO1,Elvia As,NAMMO RAUFOSS AS,Industri,2026-09-14,2029-04-01,Karoline Josefine Gudbjerg,1
26/04604,ELB3665,Borgund KRA/TRA,Hallingdal og Ringerike,NO5,Sygnir AS,HÅBAKKEN NÆRINGSPARK AS,Datasenter,2026-07-13,2027-10-01,Hans Olav Ween,4
